chlorides,density,pH,sulphates,acid,residual sugar,alcohol,bound sulfur dioxide,quality,type
0.029,0.9892,3.2,0.46,6.94,1.5,12.2,44,6,white
0.031,0.99296,3.22,0.46,7.26,7.75,11,106,6,white
0.021,0.99338,3.13,0.62,8.78,5.7,11.1,102,6,white
0.032,0.99404,3.24,0.58,7.24,7.4,11,119,6,white
0.038,0.99546,3,0.63,7.98,13.5,10.7,69,6,white
0.038,0.99546,3,0.63,7.98,13.5,10.7,69,6,white
0.034,0.99058,3.02,0.58,7.84,1.3,11.3,66,6,white
0.028,0.99314,2.96,0.38,7.94,11.6,11.7,75,6,white
0.028,0.99314,2.96,0.38,7.94,11.6,11.7,75,6,white
0.036,0.99056,3.05,0.54,7.66,1.9,11.4,72,6,white
0.038,0.99546,3,0.63,7.98,13.5,10.7,69,6,white
0.034,0.99058,3.02,0.58,7.84,1.3,11.3,66,6,white
0.036,0.99196,3.15,0.49,8.76,1.9,11.2,92,6,white
0.057,0.99257,3.16,0.36,8.52,8.4,11.8,100,6,white
0.057,0.99257,3.16,0.36,8.52,8.4,11.8,100,6,white
0.049,0.9952,3.19,0.37,7.24,12.2,10.7,79,6,white
0.048,0.9903,2.96,0.46,8.76,1.3,12,53,6,white
0.049,0.99691,3.08,0.45,6.72,12.5,9.4,67.5,6,white
0.044,0.99142,3.3,0.59,6.62,1.5,11,87,6,white
0.044,0.99138,3.3,0.57,6.68,1.5,11,89,6,white
0.052,0.99432,3.19,0.38,6.49,7.8,10.4,64,6,white
0.05,0.99592,3.1,0.5,6.74,10.8,9.8,58,6,white
0.049,0.99691,3.08,0.45,6.72,12.5,9.4,53.5,6,white
0.046,0.99432,3.23,0.53,6.92,8.6,10.6,105,6,white
0.048,0.9915,3.06,0.45,8.5,3.7,11.4,59,6,white
0.058,0.99322,3.03,0.38,8.2,1.1,9.2,63,6,white
0.059,0.9927,3.12,0.38,7.76,1.1,9.7,68,6,white
0.047,0.99173,3.07,0.46,8.34,3.8,11.3,63,6,white
0.098,0.99412,3.15,0.49,7.82,4.6,9.6,91,6,white
0.07,0.99666,2.86,0.46,7.78,10.2,8.9,135,6,white
0.057,0.99425,3.26,0.36,7.24,7.9,10,61,6,white
0.059,0.99314,3.18,0.4,7.8,2.4,9.2,93,6,white
0.11,0.99672,3.08,0.41,7.96,10.7,9,83,6,white
0.11,0.99672,3.08,0.41,7.96,10.7,9,83,6,white
0.057,0.99425,3.26,0.36,7.24,7.9,10,61,6,white
0.059,0.99314,3.18,0.4,7.8,2.4,9.2,93,6,white
0.037,0.99528,3.08,0.38,7.34,14.2,10.6,75,6,white
0.037,0.99727,3.04,0.38,7.92,20.3,12.3,105,6,white
0.035,0.99021,3.18,0.38,8.1,3.5,12.2,62,6,white
0.043,0.99238,3.75,0.76,5.95,2.7,11.3,107,6,white
0.04,0.99006,3.31,0.56,6.42,1.2,11.3,57,6,white
0.041,0.99078,3.27,0.56,6.9,2,11.1,65,6,white
0.041,0.99036,3.26,0.57,7.02,1.1,11.2,60,6,white
0.046,0.99123,3.15,0.45,8.5,1.5,11.3,72,6,white
0.041,0.98978,3.07,0.45,8.46,1.2,12,65,6,white
0.069,0.99908,3.15,0.5,7.3,18.1,8.8,125,6,white
0.069,0.99908,3.15,0.5,7.3,18.1,8.8,125,6,white
0.054,0.99853,3.12,0.6,7.2,17.45,9.3,109,6,white
0.059,0.99769,3.14,0.56,7.38,12.1,8.7,138,6,white
0.095,0.98954,3.1,0.63,8.12,3,12.8,62,6,white
0.032,0.99095,3.05,0.62,8.02,1.8,11.2,112,6,white
0.04,0.99411,3.33,0.31,6.74,11.5,10.8,96,6,white
0.038,0.9915,3.24,0.34,7.9,7.8,12.5,63,6,white
0.035,0.99016,3.46,0.48,7.66,5,12.8,108,6,white
0.041,0.98949,3.22,0.39,7.7,1.5,12.7,64,6,white
0.052,0.99544,3.02,0.58,7.94,11.9,10.4,98,6,white
0.052,0.99544,3.02,0.58,7.94,11.9,10.4,98,6,white
0.051,0.9941,3.25,0.53,6.98,9,10.7,93,6,white
0.055,0.994,3.22,0.35,7.16,10,10.9,75,6,white
0.052,0.99544,3.02,0.58,7.94,11.9,10.4,98,6,white
0.052,0.99546,3.03,0.58,7.9,11.9,10.4,106,6,white
0.055,0.99767,3.19,0.53,7.1,15,9.6,112,6,white
0.032,0.99134,3.1,0.67,8.56,3.7,12.5,164,6,white
0.055,0.99767,3.19,0.53,7.1,15,9.6,112,6,white
0.039,0.98998,3.32,0.41,6.9,1.4,12.4,74,6,white
0.06,0.99252,3.27,0.57,8.02,5.2,11.6,155,6,white
0.05,0.99659,3.06,0.58,7.22,11.9,9.3,114,6,white
0.049,0.99324,3.1,0.69,7.94,3.2,10.2,93,6,white
0.037,0.99164,3.23,0.66,7.56,1.7,10.6,78,6,white
0.053,0.99708,3.09,0.5,8.34,13,9.3,92,6,white
0.039,0.99163,2.96,0.52,7.74,5.6,11.1,53,6,white
0.055,0.99605,3.13,0.65,9.38,9.7,9.9,155,6,white
0.037,0.98948,3.19,0.5,7.06,2,12.3,68,6,white
0.048,0.99045,3.32,0.62,6.56,1.2,11.3,94,6,white
0.04,0.98985,3.2,0.33,8.04,1.4,12,49,6,white
0.044,0.99348,3.12,0.33,7.58,6.5,10.2,72,6,white
0.045,0.99066,2.98,0.44,9.3,1.3,12.4,74,6,white
0.044,0.99348,3.12,0.33,7.58,6.5,10.2,72,6,white
0.036,0.98865,3.24,0.35,6.82,1.3,12.6,43,6,white
0.045,0.99066,2.98,0.44,9.3,1.3,12.4,74,6,white
0.044,0.99035,3.03,0.43,9.14,1.2,12.5,73,6,white
0.033,0.99086,3.05,0.34,8.06,2.6,11.7,60,6,white
0.044,0.99013,3.29,0.46,7.8,2.3,12.9,76,6,white
0.044,0.99517,3.06,0.5,8.18,10.5,10.3,106,6,white
0.033,0.99086,3.05,0.34,8.06,2.6,11.7,60,6,white
0.05,0.99666,3.24,0.41,6.94,14.4,10.3,115,6,white
0.023,0.99068,3.25,0.51,6.64,3.1,11.2,70,6,white
0.024,0.99084,3.29,0.6,7.7,1.7,11.8,76,6,white
0.05,0.9939,3.08,0.54,6.76,6,9.8,108,6,white
0.041,0.99624,3.04,0.49,8.7,11.8,10,161,6,white
0.041,0.99184,2.92,0.74,9.3,4.6,12.2,149,6,white
0.046,0.99033,3.22,0.53,6.96,1.2,11.3,63,6,white
0.038,0.99248,3.26,0.29,7.54,8.1,12.1,85,6,white
0.048,0.99612,3.11,0.56,7.24,12.4,9.9,168,6,white
0.046,0.99202,2.97,0.68,7.32,5.2,11,122,6,white
0.045,0.99261,2.94,0.63,6.9,5,10,112,6,white
0.066,0.98964,3.14,0.42,8.94,2.5,12.7,60,6,white
0.036,0.99206,3.07,0.35,7.94,9.2,12.1,82,6,white
0.052,0.9938,3.23,0.46,7.42,6.9,10.4,95,6,white
0.05,0.99204,3.24,0.47,7.34,2,10.4,97,6,white
0.042,0.996,3.08,0.4,7.5,10.8,10.1,83,6,white
0.034,0.99237,3.1,0.59,7.52,3.9,11.1,78,6,white
0.019,0.99041,3.16,0.47,7.84,2,11.8,48.5,6,white
0.023,0.9893,3.07,0.54,6.58,2.2,12.3,74,6,white
0.145,0.99274,3.09,0.56,8.26,1.4,10.1,98,6,white
0.04,0.99105,3.25,0.45,6.58,1.6,11.4,88,6,white
0.044,0.99209,3.19,0.43,6.34,2.2,10.4,122,6,white
0.053,0.99676,3.2,0.35,7.44,14.8,9.8,51,6,white
0.047,0.99251,3.3,0.43,7.96,1.8,9.9,62,6,white
0.053,0.99676,3.2,0.35,7.44,14.8,9.8,51,6,white
0.034,0.98871,2.96,0.34,6.86,1.5,12.1,84,6,white
0.036,0.99248,3.75,0.44,4.46,11.1,12.4,94,6,white
0.038,0.99184,3.22,0.4,7.36,5.25,11.2,101,6,white
0.036,0.99267,3.26,0.47,9.02,7.9,12.2,146,6,white
0.036,0.99269,3.26,0.46,8.2,8,12.2,145,6,white
0.042,0.98912,3.23,0.37,6.52,1.4,12.2,55,6,white
0.038,0.99184,3.22,0.4,7.36,5.25,11.2,101,6,white
0.04,0.98999,3.17,0.36,6.72,3.5,12.1,119,6,white
0.041,0.995,3.07,0.5,7.62,9.9,10.1,110,6,white
0.044,0.99862,3.22,0.46,6.54,16,8.9,72,6,white
0.044,0.99862,3.22,0.46,6.54,16,8.9,72,6,white
0.044,0.99862,3.22,0.46,6.54,16,8.9,72,6,white
0.044,0.99862,3.22,0.46,6.54,16,8.9,72,6,white
0.04,0.99691,3.23,0.38,7.22,16.8,10.5,81,6,white
0.044,0.99862,3.22,0.46,6.54,16,8.9,72,6,white
0.049,0.9928,3.15,0.42,6.92,6.8,11,71,6,white
0.049,0.9928,3.15,0.42,6.92,6.8,11,71,6,white
0.049,0.9928,3.15,0.42,6.92,6.8,11,71,6,white
0.049,0.9928,3.15,0.42,6.92,6.8,11,71,6,white
0.03,0.99202,2.88,0.54,8.06,4.7,10.5,51,6,white
0.048,0.99606,2.87,0.49,7.66,11.8,9.7,84,6,white
0.041,0.99296,3.17,0.55,7.98,5.8,11.2,99,6,white
0.041,0.99296,3.17,0.55,7.98,5.8,11.2,99,6,white
0.037,0.99388,3.13,0.49,8.1,8.8,11,72,6,white
0.038,0.99315,3.44,0.46,6.12,10.2,12.4,98,6,white
0.208,0.99478,3.1,0.4,7.46,6.6,9.4,94,6,white
0.034,0.99616,3.05,0.52,8.66,11.1,10,179,6,white
0.043,0.9902,3.16,0.31,8,4.2,12.5,81,6,white
0.044,0.9921,3.39,0.59,7.08,1.6,10.9,91,6,white
0.044,0.99462,3.38,0.58,6.88,7.4,10.5,92,6,white
0.05,0.99476,3.22,0.37,7.12,11.5,10.8,82,6,white
0.036,0.99081,3.33,0.61,7.3,2,11.8,71,6,white
0.038,0.99198,3.36,0.71,7.78,4.8,12.6,105,6,white
0.054,0.99545,3.17,0.39,6.53,9.8,10.2,81,6,white
0.043,0.9902,3.16,0.31,8,4.2,12.5,81,6,white
0.04,0.99089,3.32,0.65,7.54,1.6,11.5,67,6,white
0.036,0.99445,3,0.33,7.3,11.5,10.6,123,6,white
0.037,0.99085,2.89,0.3,9.54,2.2,11.46666667,93,6,white
0.043,0.99033,3.4,0.41,6.86,1,11.4,55,6,white
0.054,0.99788,3.04,0.62,8.98,15.7,10.03333333,103,6,white
0.052,0.99108,3.44,0.69,6.96,1.2,11.3,102,6,white
0.024,0.99234,3.37,0.58,6.74,1.5,10.4,88,6,white
0.176,0.99288,2.96,0.43,8.62,1.2,9.2,70,6,white
0.034,0.99195,3.11,0.54,8.2,3.2,11.1,86,6,white
0.176,0.99288,2.96,0.43,8.62,1.2,9.2,70,6,white
0.042,0.99839,2.98,0.47,9.26,13.2,9.1,87,6,white
0.015,0.98963,2.82,0.59,8.22,5.7,13.2,59,6,white
0.039,0.98946,3.22,0.38,7.58,2.5,12.7,103,6,white
0.064,0.99136,3.11,0.42,8.32,1.4,11.43333333,132,6,white
0.049,0.99323,3.27,0.45,7.56,7.4,11.1,121,6,white
0.039,0.98946,3.22,0.38,7.58,2.5,12.7,103,6,white
0.04,0.9912,3.31,0.52,7.14,3.6,11.6,144,6,white
0.062,0.99461,3.17,0.44,8.28,5.8,9.8,151,6,white
0.039,0.99008,3.22,0.65,7.56,1.5,12,74,6,white
0.039,0.98959,3.12,0.37,7.22,2.9,12.8,93,6,white
0.041,0.99334,2.99,0.34,7.4,9.65,10.93333333,83,6,white
0.035,0.98959,3.26,0.42,7.04,3.2,12.6,101,6,white
0.041,0.99418,2.98,0.3,7.66,11.45,10.9,80,6,white
0.041,0.99334,2.99,0.34,7.4,9.65,10.93333333,83,6,white
0.038,0.99157,3.05,0.37,8.02,3.5,11.36666667,89,6,white
0.043,0.98918,3.14,0.44,7.18,1.7,12.5,74,6,white
0.041,0.99235,3.22,0.54,7.28,4.8,11,146,6,white
0.035,0.9914,3.21,0.76,7.3,2.6,11.33333333,44,6,white
0.05,0.99332,3.31,0.5,6.9,7.3,11.06666667,110,6,white
0.058,0.99198,3.22,0.49,7.54,5,12.2,124,6,white
0.041,0.99142,3.2,0.53,8,1.7,11,79,6,white
0.035,0.9914,3.21,0.76,7.3,2.6,11.33333333,44,6,white
0.043,0.9924,3.28,0.52,7.16,5,11,116,6,white
0.039,0.99112,3.11,0.75,8.18,1.2,11.2,63,6,white
0.036,0.99534,3.08,0.36,7.8,7.1,9.3,72,6,white
0.047,0.99724,3.25,0.35,7.32,17.05,10.5,86,6,white
0.046,0.99526,3.26,0.35,7.22,12.7,10.8,83,6,white
0.041,0.99461,3.02,0.96,8.44,13.6,12.1,107,6,white
0.043,0.99116,3.17,0.41,8.18,5.2,12.3,136,6,white
0.046,0.99043,2.92,0.47,7.32,2.8,11.05,62,6,white
0.04,0.9917,3.19,0.48,7.2,2.2,10.5,101,6,white
0.047,0.99906,3.08,0.46,7.5,17.3,8.8,81,6,white
0.047,0.99906,3.08,0.46,7.5,17.3,8.8,81,6,white
0.047,0.99906,3.08,0.46,7.5,17.3,8.8,81,6,white
0.047,0.99906,3.08,0.46,7.5,17.3,8.8,81,6,white
0.04,0.9917,3.19,0.48,7.2,2.2,10.5,101,6,white
0.04,0.9917,3.19,0.48,7.2,2.2,10.5,101,6,white
0.047,0.99906,3.08,0.46,7.5,17.3,8.8,81,6,white
0.045,0.99415,3.22,0.49,7.54,6.6,9.9,92,6,white
0.047,0.99418,3.22,0.49,7.66,6.5,9.9,95,6,white
0.038,0.99124,3.2,0.42,8.32,5,12.2,133,6,white
0.042,0.99179,3.27,0.47,7.4,2.8,10.8,102.5,6,white
0.043,0.98924,3.21,0.47,7.92,2.8,13.2,50,6,white
0.03,0.99045,3.15,0.38,7.7,5.4,12.7,79,6,white
0.045,0.99196,3.25,0.53,8.16,1.7,11.2,143,6,white
0.051,0.99339,3.24,0.56,7.68,9.15,11.33333333,141,6,white
0.051,0.99224,3.36,0.58,7.82,4.5,11.9,78,6,white
0.051,0.99339,3.24,0.56,7.68,9.15,11.35,141,6,white
0.033,0.98918,3.16,0.37,7.64,1.2,12.4,75,6,white
0.031,0.99241,3.39,0.4,6.2,7.8,11.3,92,6,white
0.031,0.99241,3.39,0.4,6.2,7.8,11.3,92,6,white
0.024,0.98816,3.48,0.34,5.52,2.8,13.1,80,6,white
0.035,0.98916,3.04,0.37,7.94,2.9,12.5,86,6,white
0.039,0.99535,3.23,0.43,7.4,12.8,10.7,99,6,white
0.04,0.99552,3.05,0.65,7.98,12.2,10.4,107,6,white
0.035,0.98916,3.04,0.37,7.94,2.9,12.5,86,6,white
0.051,0.9984,3,0.43,7.48,17.3,9.4,132,6,white
0.051,0.9984,3,0.43,7.48,17.3,9.4,132,6,white
0.044,0.99312,3.27,0.56,8.74,2.4,10.6,128,6,white
0.038,0.98968,3.23,0.47,8.34,2.8,13.4,81,6,white
0.031,0.98946,3.12,0.35,7.98,1.7,12.5,83,6,white
0.051,0.99036,3.24,0.57,7.1,1.2,11.3,64,6,white
0.042,0.99094,3.03,0.63,7.4,2.1,10.9,65,6,white
0.042,0.9908,3.76,0.49,5.57,1,11.3,55,6,white
0.039,0.9899,3.36,0.47,7.16,1.1,12.1,54,6,white
0.049,0.99571,3.2,0.45,6.64,9.8,10.1,75,6,white
0.036,0.98945,3.26,0.58,6.8,1.9,12.4,73,6,white
0.034,0.98865,3.11,0.52,7.16,1.3,12.7,67,6,white
0.037,0.98987,3.18,0.37,7.46,3.5,12.4,118,6,white
0.033,0.99064,3.29,0.65,7.98,2,12.5,62,6,white
0.05,0.99394,3.16,0.4,7.2,7.8,9.9,55,6,white
0.045,0.99175,3.47,0.52,7.22,0.9,11.2,55,6,white
0.03,0.98926,3.13,0.4,8.64,2.9,13,94,6,white
0.03,0.98926,3.13,0.4,8.64,2.9,13,94,6,white
0.033,0.99057,3.2,0.44,7.06,3.5,11.7,91,6,white
0.038,0.98898,2.97,0.7,7.12,4.2,13.1,82,6,white
0.032,0.9932,3.08,0.66,7.12,9.7,12,33,6,white
0.043,0.9972,3.36,0.55,7.92,10.5,10.55,135,6,white
0.046,0.9902,3.04,0.39,8.56,1.1,11.45,50,6,white
0.053,0.9988,3.18,0.64,8.04,16.1,10.2,123,6,white
0.046,0.9902,3.04,0.39,8.56,1.1,11.45,50,6,white
0.053,0.9925,3.27,0.45,6.48,7.7,12.2,83,6,white
0.053,0.992,3.2,0.55,9,2.4,11,139,6,white
0.055,0.9986,3.35,0.54,8.1,16.3,10.4,141,6,white
0.05,0.9914,3.14,0.51,8.22,2.3,11.4,124,6,white
0.044,0.9904,3.22,0.69,7.54,1.1,11.2,62,6,white
0.047,0.9886,3.24,0.56,8.06,2.1,13.4,112,6,white
0.034,0.9898,3.36,0.4,7.28,1.1,12.5,86,6,white
0.034,0.9898,3.36,0.4,7.28,1.1,12.5,86,6,white
0.044,0.9904,3.12,0.42,8.18,2.8,11.2,70,6,white
0.039,0.9908,3.06,0.59,8.18,2.8,11.2,68,6,white
0.036,0.9899,3.16,0.48,7.48,2.2,12.7,55,6,white
0.049,0.993,3,0.38,7.48,5.1,9.8,56,6,white
0.049,0.9944,3.14,0.36,10.06,3.5,9.8,30,6,white
0.058,0.9956,3.32,0.42,6.5,12.7,11.7,159,6,white
0.049,0.9944,3.14,0.36,10.06,3.5,9.8,30,6,white
0.049,0.995,3.16,0.38,7.42,9.8,10,77.5,6,white
0.058,0.9956,3.32,0.42,6.5,12.7,11.7,159,6,white
0.058,0.9946,3.32,0.38,6.78,12.7,12.3,164,6,white
0.049,0.993,3,0.38,7.48,5.1,9.8,56,6,white
0.068,0.9934,3.03,0.38,7.52,3.5,9,83,6,white
0.047,0.9984,3.06,0.45,8.88,12.7,9.1,104,6,white
0.049,0.9984,3.06,0.45,8.94,12.9,9.1,100.5,6,white
0.049,0.9984,3.06,0.45,8.94,12.9,9.1,100.5,6,white
0.056,0.9908,3.32,0.33,6.46,1.3,11.4,86,6,white
0.04,0.98914,3.13,0.3,7.42,1.5,12.4,70,6,white
0.047,0.9984,3.06,0.45,8.88,12.7,9.1,95.5,6,white
0.049,0.9984,3.06,0.45,8.94,12.9,9.1,90,6,white
0.032,0.993,2.99,0.39,7.88,6.2,10.9,110,6,white
0.026,0.98963,3.26,0.58,6.96,3.9,12.75,69,6,white
0.025,0.98961,3.36,0.37,7.14,1.3,12.7,88,6,white
0.026,0.98963,3.26,0.58,6.96,3.9,12.75,69,6,white
0.021,0.989315,3.19,0.31,7.86,1.8,13,60,6,white
0.033,0.989435,2.96,0.61,7.52,2.1,12,63,6,white
0.022,0.9899,3.35,0.35,7.12,1.4,11.5,30,6,white
0.047,0.9914,3.1,0.46,7.92,1.9,11.1,81,6,white
0.048,0.9915,3.11,0.47,8.1,1.8,11.1,88,6,white
0.027,0.9924,3.22,0.73,8.02,9.6,13.1,84,6,white
0.026,0.98963,3.26,0.58,6.86,3.9,12.75,69,6,white
0.025,0.98961,3.36,0.37,7.14,1.3,12.7,88,6,white
0.042,0.997,3.17,0.59,7.76,12,9.7,149,6,white
0.033,0.9944,3.38,0.59,6.78,7.9,10.9,108,6,white
0.022,0.98889,3.33,0.54,6.38,4.6,13.8,78,6,white
0.035,0.989465,3.11,0.48,7.04,2.2,12.15,62,6,white
0.055,0.9925,3.23,0.44,7.54,4.4,12.2,118,6,white
0.05,0.9936,3.18,0.55,7.24,2.8,9.4,109,6,white
0.029,0.9898,3.3,0.4,6.68,1.1,11.4,71,6,white
0.026,0.9896,3.1,0.4,7.9,3.3,12.4,68,6,white
0.05,0.99754,3.21,0.49,7.28,11.4,10,71,6,white
0.045,0.998365,2.99,0.69,6.92,14.7,9.4,72,6,white
0.047,0.99837,2.97,0.66,6.58,13.8,8.8,68,6,white
0.038,0.99125,3.46,0.43,7.06,1.3,11.1,106,6,white
0.048,0.9943,3.1,1.01,8.06,6.3,10.5,111,6,white
0.05,0.99488,2.86,0.49,7.6,7.9,9.3,90,6,white
0.042,0.99034,3.02,0.54,7.08,2,11.4,98,6,white
0.03,0.99322,3.41,0.64,6.12,11.8,11.8,135,6,white
0.029,0.98895,3.28,0.36,6.74,1.2,12.4,101,6,white
0.035,0.99457,3.12,0.36,9.36,10,11.6,86,6,white
0.029,0.98895,3.28,0.36,6.74,1.2,12.4,101,6,white
0.041,0.99331,3.22,0.49,7.66,7.2,11.1,126,6,white
0.042,0.99435,3.01,0.55,9.22,9.9,11,230,6,white
0.036,0.99122,3.12,0.46,8.2,5.3,12.2,138,6,white
0.053,0.99544,3.2,0.56,7.84,13.55,11,93,6,white
0.035,0.989,3.32,0.47,7.24,2.2,12.9,103,6,white
0.037,0.99414,3.07,0.42,8.48,9.9,10.9,95,6,white
0.069,0.99014,3.22,0.59,8.34,4.3,13.4,94,6,white
0.033,0.99551,3.15,0.5,8.02,13,10.7,43,6,white
0.053,0.99544,3.2,0.56,7.84,13.55,11,93,6,white
0.043,0.9927,3,0.47,9.42,1.1,10.2,96,6,white
0.03,0.99244,2.8,0.54,8.06,6.9,11,71,6,white
0.044,0.99752,3.06,0.43,7.42,13.4,9.1,94,6,white
0.032,0.99114,3.18,0.4,6.02,4.6,11,84,6,white
0.037,0.99326,3.11,0.37,8.14,9.9,11.5,106,6,white
0.036,0.9906,3.16,0.59,7.72,3,12,55,6,white
0.033,0.99479,3.12,0.39,7.76,12.9,11.2,146,6,white
0.03,0.99201,3.22,0.48,7.5,2.5,10.8,61,6,white
0.038,0.99151,3.07,0.42,7.54,4.5,11.2,83,6,white
0.038,0.99204,3.36,0.73,8,5.3,12.6,105,6,white
0.032,0.98988,3.26,0.52,7.7,4.2,13.1,76,6,white
0.034,0.99394,3.39,0.49,8.72,8.2,11.7,149,6,white
0.041,0.99153,3.18,0.5,7.22,2.6,10.9,75,6,white
0.041,0.99153,3.18,0.5,7.22,2.6,10.9,75,6,white
0.034,0.99394,3.39,0.49,8.72,8.2,11.7,149,6,white
0.043,0.99318,3.23,0.64,7.58,5,10.8,138,6,white
0.038,0.99366,3.11,0.59,7.14,10.7,11.2,87,6,white
0.033,0.99494,3.25,0.49,6.79,10.8,10,94,6,white
0.036,0.99018,3.04,0.64,7.3,1.3,11.73333333,76,6,white
0.049,0.99596,3.26,0.54,8.5,12.7,10.5,136,6,white
0.036,0.99018,3.04,0.64,7.3,1.3,11.75,76,6,white
0.035,0.99094,3.01,0.63,7.84,1.2,11.4,83,6,white
0.043,0.99392,3.24,0.5,7.62,5.7,10.1,150,6,white
0.035,0.99024,3.09,0.47,7.82,3.4,12.3,82,6,white
0.036,0.98975,3.21,0.47,8.46,2.8,13.4,89,6,white
0.04,0.98984,2.87,0.48,7.6,1.3,11.2,57,6,white
0.027,0.99063,3.27,0.63,8.08,2,12.4,65,6,white
0.028,0.99272,3.14,0.41,8.36,8.2,12.4,67,6,white
0.028,0.99272,3.14,0.41,8.36,8.2,12.4,67,6,white
0.035,0.99732,3.08,0.54,8.15,11.4,8.9,80,6,white
0.04,0.99332,3.29,0.62,6.86,4.5,10.6,82,6,white
0.045,0.99636,3.18,0.52,7.64,9.9,9.6,87,6,white
0.035,0.99732,3.08,0.54,8.15,11.4,8.9,80,6,white
0.025,0.98845,3.29,0.33,6.88,0.9,13.1,38,6,white
0.027,0.9899,3.11,0.31,8.1,0.7,11.8,51,6,white
0.041,0.99004,3.06,0.37,7.8,1,12.2,81,6,white
0.036,0.99097,3.44,0.44,7.16,1,11.45,132,6,white
0.035,0.99666,2.88,0.36,7.66,12.5,9,138,6,white
0.035,0.99666,2.88,0.36,7.66,12.5,9,138,6,white
0.035,0.99666,2.88,0.36,7.66,12.5,9,138,6,white
0.035,0.99666,2.88,0.36,7.66,12.5,9,138,6,white
0.035,0.99666,2.88,0.36,7.66,12.5,9,138,6,white
0.03,0.98926,3.19,0.96,7.2,1.2,13,65,6,white
0.173,0.99334,3.04,0.46,9.02,1.3,9.2,87,6,white
0.044,0.9948,3.26,0.38,7.96,7.6,10.1,110,6,white
0.044,0.9948,3.26,0.38,7.96,7.6,10.1,110,6,white
0.053,0.9955,3.2,0.51,8.02,8.3,9.6,151,6,white
0.053,0.99474,3.36,0.37,6.56,9,10.4,79,6,white
0.051,0.99564,3.4,0.38,6.33,12.55,10.8,84,6,white
0.034,0.99246,3.28,0.57,8.42,1.4,10.6,83,6,white
0.033,0.98984,3.35,0.5,6.94,1.8,12.7,97,6,white
0.051,0.99564,3.4,0.38,6.13,12.55,10.8,84,6,white
0.053,0.99474,3.36,0.37,6.56,9,10.4,79,6,white
0.04,0.99216,3.25,0.47,7.52,3,11.1,79,6,white
0.034,0.99512,3.29,0.31,7.64,7.9,10,64,6,white
0.033,0.9909,3.12,0.59,6.89,2.6,10.8,59,6,white
0.074,0.99132,3.31,0.4,6.01,1.2,10.3,83,6,white
0.043,0.99378,3.24,0.48,5.98,7.1,9.9,102,6,white
0.034,0.99512,3.29,0.31,7.64,7.9,10,64,6,white
0.036,0.99521,3.34,0.52,7.4,10.7,10.2,71,6,white
0.053,0.99489,3.06,0.5,7.06,7.7,9.4,95,6,white
0.05,0.99495,3.18,0.46,8.16,8.4,9.7,122,6,white
0.036,0.99521,3.34,0.52,7.4,10.7,10.2,71,6,white
0.038,0.9954,3.04,0.65,8.18,12.7,10.4,83,6,white
0.035,0.99121,3.49,0.74,8.22,1.8,12.2,61,6,white
0.053,0.99489,3.06,0.5,7.06,7.7,9.4,95,6,white
0.035,0.99478,3.12,0.4,8.24,10.5,10.6,86,6,white
0.031,0.99321,3.34,0.46,6.68,10.5,11.7,87,6,white
0.031,0.99321,3.34,0.46,6.68,10.5,11.7,87,6,white
0.03,0.99218,3.55,0.44,6.01,1,10.15,76,6,white
0.026,0.9898,3.33,0.44,6.44,1.2,11.63333333,37,6,white
0.042,0.99144,3.22,0.54,7.06,1.7,10.8,47,6,white
0.042,0.99143,3.22,0.54,7.04,1.6,10.8,48,6,white
0.029,0.98972,3.36,0.66,6.6,1.9,12.5,85,6,white
0.026,0.9898,3.33,0.44,6.44,1.2,11.65,37,6,white
0.034,0.99218,3.24,0.46,7.26,3.9,10.9,95,6,white
0.035,0.99215,3.23,0.46,7.18,3.6,10.8,97,6,white
0.043,0.99542,2.86,0.46,7.76,10.4,9.1,71,6,white
0.029,0.99428,3.23,0.49,7.12,11.4,10.5,68,6,white
0.051,0.99946,3.13,0.62,7.4,18.4,9.3,154,6,white
0.033,0.99472,3.14,0.62,9.26,7.1,10.6,137,6,white
0.032,0.99076,3.43,0.77,6.34,1.5,12,65,6,white
0.043,0.99632,3.16,0.5,7.48,10.2,9.7,66,6,white
0.027,0.99,3.12,0.48,8.64,2.2,12.4,71,6,white
0.04,0.99102,2.98,0.53,7.6,3.9,11.8,113,6,white
0.052,0.99388,3.16,0.37,7.46,7.4,10,83,6,white
0.052,0.99388,3.16,0.37,7.46,7.4,10,83,6,white
0.035,0.99602,3.12,0.38,7.04,11,9.1,70,6,white
0.046,0.99224,3.24,0.41,7,5.4,11.4,82,6,white
0.047,0.99705,3.16,0.5,7.94,13,9.6,91,6,white
0.047,0.99705,3.16,0.5,7.94,13,9.6,91,6,white
0.047,0.99705,3.16,0.5,7.94,13,9.6,91,6,white
0.047,0.99705,3.16,0.5,7.94,13,9.6,91,6,white
0.076,0.99204,3.32,0.47,6.34,1.2,10.1,82,6,white
0.076,0.99185,3.13,0.45,7.14,1.2,10.3,83,6,white
0.034,0.98952,3.16,0.56,7.08,2,12.3,71,6,white
0.031,0.99704,2.97,0.4,6.81,19.4,10.55,78,6,white
0.045,0.9974,3.04,0.53,8.3,12.1,8.9,89,6,white
0.045,0.9974,3.04,0.53,8.3,12.1,8.9,89,6,white
0.037,0.98758,3.15,0.39,7.4,1.7,13.55,94,6,white
0.036,0.9901,3.13,0.38,7.64,2.2,11.6,100,6,white
